Molecule ChEMBL ID,smiles,pIC50
CHEMBL3290875,Cc1c(/C=N/NC(=O)c2ccco2)no[n+]1[O-],5.17
CHEMBL3291133,Cc1c(/C=N/NC(=O)c2ccc(Br)cc2)no[n+]1[O-],4.56
CHEMBL131106,C=CCc1cc(Oc2ccccc2)ccc1OCCSC#N,4.22
CHEMBL254431,CCCCCCCCCC(O)C#CC#CC(CC)OC(C)=O,4.58
CHEMBL252747,C=CC(C#CC#CC(O)CCCCCCCCC)OC(C)=O,6.19
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.77
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.30
CHEMBL1275764,CC(C)Oc1cc(NC(=N)c2ccccn2)ccc1-c1ccc(-c2ccc(NC(=N)c3ccccn3)cc2OC(C)C)o1,7.22
CHEMBL473474,O[C@@H]1Cc2ccc3ccccc3c2N[C@H](c2ccccc2Cl)C1,6.30
CHEMBL484588,Clc1cccc([C@@H]2C[C@@H]3Cc4ccc5ccccc5c4N2O3)c1,4.88
CHEMBL488744,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H](c2ccc([N+](=O)[O-])cc2)N1,4.37
CHEMBL488544,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2cccc([N+](=O)[O-])c2)N1,4.65
CHEMBL517132,C=C[C@@]1(O)CC[C@H]2[C@@H](C[C@@H](O)[C@H]3[C@](C)(COC(C)=O)CCC[C@]23C)C1=C,4.45
CHEMBL2377068,OC(c1ccccc1)c1c(C(F)(F)F)nc2ccc(Br)cc2c1Br,5.09
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,6.10
CHEMBL4534861,C=CCc1ccc(Oc2cc(CC=C)cc(OC)c2OC(=O)CC)c(OC)c1,4.52
CHEMBL595883,O=[N+]([O-])c1ccc2c(c1)c(OCc1ccccc1)nn2CCN1CCCC1,5.08
CHEMBL4081494,COc1cccc2c(-c3ccc(O)c4c3C[C@@H](C)N[C@H]4C)c(C)cc(OC)c12,4.35
CHEMBL449170,C=C[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5OC[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]5OC(C)=O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.55
CHEMBL291054,COc1ccc2c(c1)C(=O)c1oc(C(C)=O)cc1C2=O,6.28
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,4.52
CHEMBL578790,[O-][n+]1onc2ccc(/C=C\c3ccccc3)cc21,5.16
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,5.31
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.44
CHEMBL2448707,CC(C)N(C)CC(O)COc1ccc2cc(Br)ccc2c1,5.24
CHEMBL2448709,CN1CCC(NCC(O)COc2ccc3cc(Br)ccc3c2)CC1,5.44
CHEMBL2448721,CO/N=C(\C)c1ccc(-n2ccnc2)c(NC(=O)c2cnn(-c3ccccn3)c2)c1,8.17
CHEMBL3358484,Cc1ccoc1C(=O)NCCCn1cnc([N+](=O)[O-])n1,4.52
CHEMBL1819413,CC(=O)NCCCCCCNCc1nc2ccc(Cl)cc2c(-c2ccccc2)c1C(=O)O,4.89
CHEMBL4475528,Cl.Cl.Cl.NCCN(CCN)CCNCc1ccc2ccc3cccc4ccc1c2c34,4.15
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.44
CHEMBL4165449,Cc1cc(I)c2c(c1)C(=O)C=CC2=O,6.31
CHEMBL4167318,CC(C)(C)C1=CC(=O)C(I)=CC1=O,4.89
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.01
CHEMBL240965,CC(=O)Oc1cccc2c1C(=O)C=CC2=O,6.80
CHEMBL1989223,COc1cccc2c1C(=O)C=CC2=O,5.99
CHEMBL41307,NCCCN1CCN(CCCN)CC1,5.30
CHEMBL1922441,Cl.O=[N+]([O-])c1ncn(CCCCNc2ccnc3cc(Cl)ccc23)n1,6.85
CHEMBL4212932,CN(C)CCOc1ccc(OC2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1.Cl,5.67
CHEMBL39581,N#CSCCOc1ccc(Oc2ccccc2)cc1,5.66
CHEMBL482930,CCCCCCN(CCCCCC)c1ccc2nc3ccc(N4CCCCC4)cc3[o+]c2c1.[Cl-],7.68
CHEMBL482495,CN(C)c1ccc2nc3ccc(N4CCSCC4)cc3[o+]c2c1.[Cl-],6.22
CHEMBL485117,CCCN(CCC)c1ccc2nc3ccc(N4CCCC4)cc3[o+]c2c1.[Cl-],7.44
